person,personLabel,sitelinks
http://www.wikidata.org/entity/Q30229860,Jesper Bratt,15
http://www.wikidata.org/entity/Q95513516,David Åhman,15
http://www.wikidata.org/entity/Q98841297,Tristan Vukčević,15
http://www.wikidata.org/entity/Q101249011,Viktor Johansson,15
http://www.wikidata.org/entity/Q976044,Robin Lehner,14
http://www.wikidata.org/entity/Q1094309,Rasmus Jönsson,14
http://www.wikidata.org/entity/Q3371402,Jonna Adlerteg,14
http://www.wikidata.org/entity/Q4027443,Godsway Donyoh,14
http://www.wikidata.org/entity/Q2908975,Dardan Rexhepi,14
http://www.wikidata.org/entity/Q4352709,Magnus Hellberg,14
http://www.wikidata.org/entity/Q4703960,Louise Hansson,14
http://www.wikidata.org/entity/Q4936394,Hanna Ardéhn,14
http://www.wikidata.org/entity/Q3276879,Linn Blohm,14
http://www.wikidata.org/entity/Q4946059,Irene Ekelund,14
http://www.wikidata.org/entity/Q4962811,Lovisa Lindh,14
http://www.wikidata.org/entity/Q4963877,Nermina Lukac,14
http://www.wikidata.org/entity/Q5258884,Dennis Rasmussen,14
http://www.wikidata.org/entity/Q5300298,Douglas Bergqvist,14
http://www.wikidata.org/entity/Q5388608,Erik Gustafsson,14
http://www.wikidata.org/entity/Q4966872,Michaela Meijer,14
http://www.wikidata.org/entity/Q5546070,Q5546070,14
http://www.wikidata.org/entity/Q5810575,Philip Holm,14
http://www.wikidata.org/entity/Q6758471,Marcus Svensson,14
http://www.wikidata.org/entity/Q16234709,Beata Kollmats,14
http://www.wikidata.org/entity/Q15113324,Jacob de la Rose,14
http://www.wikidata.org/entity/Q17436465,Andreas Almgren,14
http://www.wikidata.org/entity/Q18581042,Marija Banusic,14
http://www.wikidata.org/entity/Q18274666,Adam Reideborn,14
http://www.wikidata.org/entity/Q19946469,Jens Burman,14
http://www.wikidata.org/entity/Q23916147,Daniel Sundgren,14
http://www.wikidata.org/entity/Q21044821,Adam Andersson,14
http://www.wikidata.org/entity/Q26710608,Rami Kaib,14
http://www.wikidata.org/entity/Q27876590,Kristoffer Jakobsen,14
http://www.wikidata.org/entity/Q29656166,Johanna Skottheim,14
http://www.wikidata.org/entity/Q37007722,Jack Lahne,14
http://www.wikidata.org/entity/Q41518275,André Göransson,14
http://www.wikidata.org/entity/Q84323645,Ecco2K,14
